"probe","logFC","AveExpr","t","P.Value","adj.P.Val"
"1417014_at",1.31931640404723,10.5450267843193,7.43430518626058,1.52506386760171e-08,4.8099234610283e-06
"1416630_at",1.56461314455825,9.16414452332153,7.42236005538027,1.57742855666419e-08,4.90645554028357e-06
"1421031_a_at",2.50649378977298,8.35102558163097,7.41460481626289,1.6123977680734e-08,4.98087340670401e-06
"1445862_at",-1.07607314463622,6.65034674221425,-7.38827817548396,1.73707667370245e-08,5.32951667079281e-06
"1448830_at",2.34424827964875,11.4868911541137,7.33007163963032,2.04856325649821e-08,6.20082224371315e-06
"1440831_at",1.1525431109647,9.92549078028143,7.31559396862379,2.13447000197498e-08,6.41778210393823e-06
"1422850_at",-1.07285605871683,8.23532506734398,-7.26807938111372,2.44291577981529e-08,7.24854898588482e-06
"1425837_a_at",1.5646156548155,8.66829440125902,7.26176071617142,2.48720423106697e-08,7.33172536113409e-06
"1436202_at",2.3143206783228,6.90205186877865,7.25175785253547,2.55898470552965e-08,7.47429954833948e-06
"1434967_at",1.01364436296674,7.23815471678307,7.25042373348872,2.56871561604536e-08,7.47429954833948e-06
"1424737_at",2.31026844621222,9.34907689116965,7.22077200815444,2.79493604763861e-08,7.87840066778432e-06
"1440226_at",-1.40810771022123,5.46191065909256,-7.21085308727673,2.87503059252768e-08,8.05383569898079e-06
"1457110_at",-1.88729320308719,5.5873346666156,-7.20182457852413,2.94995449968758e-08,8.16232502395151e-06
"1449311_at",1.02307421979571,6.49587309939037,7.10675199607334,3.86975956235723e-08,1.05138569892695e-05
"1446521_at",1.04105510734757,6.26848179839987,7.08372908244316,4.13319272878679e-08,1.10959003131555e-05
"1434364_at",1.7901974409481,3.82337803350614,7.08078832198582,4.16812391369069e-08,1.11234648894298e-05
"1435697_a_at",1.54179406866801,6.60943954202397,6.96914767072413,5.74065640089874e-08,1.44489745836971e-05
"1443048_at",-2.61156570258641,4.42661369691319,-6.96851854285276,5.75104054948327e-08,1.44489745836971e-05
"1454055_at",1.91279176148258,4.35235543922367,6.96814623426679,5.75719468036988e-08,1.44489745836971e-05
"1419675_at",1.22555889570209,6.07695448201706,6.96757518226118,5.76664691484774e-08,1.44489745836971e-05
"1437606_at",2.08678227332297,5.49957843887509,6.96259009394005,5.84983108985615e-08,1.45542780842042e-05
"1444396_at",-1.47348287864249,6.53725173147079,-6.96120165103605,5.87321480970527e-08,1.45542780842042e-05
"1417884_at",1.9292889422885,6.37745091500742,6.94291287333808,6.19019981027608e-08,1.51948322224286e-05
"1416600_a_at",1.48757307673658,9.25069414428983,6.90464579609119,6.91057944133307e-08,1.6667061143506e-05
"1418616_at",1.16790506498998,7.73758173840201,6.8884017803616,7.24147132025242e-08,1.7318422847e-05
"1438658_a_at",1.23859250764677,7.21621820338748,6.88763653575428,7.2574486554245e-08,1.7318422847e-05
"1438245_at",-1.31362470469651,6.22335766095637,-6.88450277673276,7.32325020388892e-08,1.7383468812926e-05
"1421529_a_at",1.05885494300285,11.0359232416288,6.88012823493258,7.41611513960951e-08,1.75117386864675e-05
"1437173_at",1.54523705872896,5.83751816801265,6.87382347355723,7.55205411132677e-08,1.76479374339352e-05
"1431316_at",-1.18458387725982,5.25631479125919,-6.85572937209648,7.95634017163227e-08,1.84019947733737e-05
"1455899_x_at",2.6504964849432,9.34223814965956,6.85002500512771,8.08827829420367e-08,1.85172304236995e-05
"1448529_at",1.70957033173981,7.35795621072623,6.82777143393245,8.62448041656007e-08,1.96450854175392e-05
"1436871_at",1.18447413348243,7.41216331826885,6.81580735512189,8.92746314680921e-08,2.01318757692121e-05
"1439675_at",-1.07339073941952,9.5159109121376,-6.80987517868235,9.08165816679287e-08,2.03777047253993e-05
"1420804_s_at",2.33251212618606,4.21913622817227,6.79619652930294,9.44754462170625e-08,2.10321773240209e-05
"1421041_s_at",1.83512912560535,10.7807670893761,6.79444500717644,9.49545913642949e-08,2.10321773240209e-05
"1460212_at",1.30737058653697,6.38448916610053,6.77723442292849,9.97953122197058e-08,2.19554554947363e-05
"1444399_at",1.80968193287752,4.91062098347333,6.74042062195614,1.11003708352534e-07,2.39539629206107e-05
"1456212_x_at",2.29266990632471,8.81600191343387,6.72951027604372,1.14563759795446e-07,2.45923112420744e-05
"1417394_at",1.4889399903891,6.74491748004699,6.7280395904539,1.1505238624593e-07,2.45923112420744e-05
"1419209_at",3.63906083160702,8.93931928756652,6.63093455651391,1.52443688576545e-07,3.116874838965e-05
"1436771_x_at",1.04434193082049,8.91823025874106,6.63028707353862,1.52730391656785e-07,3.116874838965e-05
"1441324_at",-1.71147937385802,4.61549186960816,-6.61329048040557,1.60454267802627e-07,3.25975132079562e-05
"1451612_at",1.80833034934945,9.04618607228062,6.59421871973331,1.69591768028272e-07,3.39944814659694e-05
"1430893_at",-1.20510190199962,8.59737906373702,-6.57913866591779,1.77187297818922e-07,3.52040718895647e-05
"1438244_at",-1.01626309786032,6.24913502452702,-6.55920895434293,1.87754908609648e-07,3.67857018460282e-05
"1442732_at",-1.30084961923283,6.0434166970266,-6.55916167344166,1.87780720752203e-07,3.67857018460282e-05
"1441228_at",1.50108273432354,6.67107555533166,6.5540746267113,1.90578921873607e-07,3.69477293899661e-05
"1420502_at",1.35340332290611,10.4345833143888,6.54999363656356,1.92854114819254e-07,3.71705702242016e-05
"1427540_at",1.11096503863841,6.54941490141989,6.51657452941055,2.12547343695537e-07,4.04476698228371e-05
"1424402_at",-1.03929817725978,4.80846838812471,-6.51098243541387,2.16035494108452e-07,4.09387261335516e-05
"1422973_a_at",2.1094526144692,8.0328546990313,6.48044078295301,2.36130951447546e-07,4.43739251718157e-05
"1441973_at",1.19951436161417,5.76556916236901,6.46428532303659,2.47512730182921e-07,4.63197993526137e-05
"1435207_at",-1.28824236592672,6.69037291112296,-6.4533609462854,2.55521152691365e-07,4.76209070559225e-05
"1454992_at",2.44200279080054,4.75562659461217,6.44473946977019,2.62025462919487e-07,4.86321415766741e-05
"1427243_at",1.66926175489072,8.3487067659234,6.42468796807043,2.77806093281206e-07,5.11401331145945e-05
"1456914_at",-1.09747740235111,4.87125841520273,-6.41592519764368,2.85000066076313e-07,5.21306212474695e-05
"1416576_at",2.08352751019946,8.33913200465307,6.41532647193134,2.85498402432872e-07,5.21306212474695e-05
"1437929_at",-1.19726780419602,5.90731405792134,-6.37184436631902,3.2414084885372e-07,5.73297114672613e-05
"1431916_at",-1.65667002706245,5.41246782705968,-6.36830597363149,3.27508407370067e-07,5.76479732965971e-05
"1444722_at",1.04048417949013,6.47353504863135,6.35888485303454,3.36647607921879e-07,5.88493944375374e-05
"1423672_at",-1.03366433176128,6.40743465437264,-6.35335292541206,3.4213331885825e-07,5.93482877454844e-05
"1460314_s_at",1.05198071408733,7.37512074287576,6.3183482386656,3.78996528133045e-07,6.49928608947851e-05
"1442560_at",-1.39210691415957,5.97475160261922,-6.30317224946835,3.96198065668943e-07,6.66751080587126e-05
"1452359_at",1.47804591896167,8.16182871093248,6.23565025695134,4.82787856252387e-07,7.9178964017596e-05
"1446007_at",-1.32005412736954,5.71862594830215,-6.22272709406111,5.01417781507893e-07,8.0237647094961e-05
"1436832_at",-1.55961801973514,5.48835597039253,-6.22253740546674,5.01696558408439e-07,8.0237647094961e-05
"1453678_at",1.38525599225272,5.98287833887033,6.21581757287608,5.11673730498208e-07,8.11180883751129e-05
"1423904_a_at",1.23392061351622,7.69536785122439,6.21400697819199,5.14395984019917e-07,8.11180883751129e-05
"1429484_at",-2.07231495512053,3.28158431479023,-6.20410399498456,5.29545300703244e-07,8.32161066446586e-05
"1448855_at",1.50099230655286,7.63647653759519,6.19887724223059,5.37721320354231e-07,8.36267905837799e-05
"1417612_at",1.41055172881458,7.55283675824503,6.17524573140685,5.76302768161871e-07,8.87093213203705e-05
"1423903_at",1.31694659844048,7.46682077216748,6.16248060974066,5.98290362302316e-07,9.11604514533675e-05
"1444495_at",-1.91350472507232,3.99830839003149,-6.15963767779784,6.03301082378993e-07,9.16144179002525e-05
"1424457_at",1.07936634262481,8.10162719370381,6.15507982451453,6.11422663082716e-07,9.23410766427081e-05
"1418714_at",1.76085447769715,6.17212271911625,6.14743424890333,6.25294061552984e-07,9.36923171764157e-05
"1446750_at",1.28571230090461,6.30765358843492,6.13707651548363,6.44592660478645e-07,9.62641509279715e-05
"1427202_at",-1.30025934128269,9.4714280754971,-6.12048566826127,6.76761623602419e-07,9.9747143745401e-05
"1425401_at",-1.46086225474897,4.21610304255442,-6.08230129066869,7.57072401422415e-07,0.00010805291891314
"1416601_a_at",1.39992610443829,7.87936371562391,6.07783181931904,7.67078868111995e-07,0.000109135722494382
"1437584_at",-2.00230545094484,3.10061499140091,-6.07349486552785,7.76915798554347e-07,0.000110187671165407
"1426858_at",1.51155039797495,8.09642376291581,6.0690191078899,7.87200607246737e-07,0.000110602911487337
"1416255_at",1.06055584235808,7.77113249429987,6.06484259000894,7.96921262142738e-07,0.000111620949825775
"1428319_at",1.05037037412141,6.93507617649135,6.05371199266688,8.23420856026779e-07,0.000114620691443407
"1418766_s_at",-1.01301964984089,7.18922434431538,-6.05029081383995,8.3174265726173e-07,0.000115422847954342
"1455565_at",-1.90372511160342,4.03796812423677,-6.0436001590937,8.48262466783248e-07,0.000116018722006068
"1453119_at",1.10941058797148,6.91754927574964,6.04341919666451,8.48713831901759e-07,0.000116018722006068
"1430838_x_at",1.28031968170346,6.15310696922684,6.04334512464607,8.48898655506583e-07,0.000116018722006068
"1447670_at",-2.32206107908004,3.81461905167852,-6.03130610619007,8.79482487361928e-07,0.000119474517055754
"1420394_s_at",1.26427284348009,7.75470865787134,6.01632465079064,9.19093089925241e-07,0.000124480532879034
"1430352_at",2.37653174598241,4.54303220656191,5.99789089345256,9.70301447394852e-07,0.000129522062067956
"1454607_s_at",1.45081045825727,5.37846184395759,5.98864261888537,9.97063545901774e-07,0.00013226047936387
"1457644_s_at",3.18579890112175,9.71656753237771,5.98307574072792,1.01352905104115e-06,0.000133658402722242
"1423905_at",1.29086253791495,7.08664875657057,5.98145617928897,1.01837044841084e-06,0.000133905322430838
"1452388_at",3.33782417309144,7.60183858858333,5.96838821116877,1.05829493480749e-06,0.000137443912649826
"1443673_x_at",1.62584034863639,8.08574639935323,5.9676747755591,1.06051931447505e-06,0.000137443912649826
"1447232_at",-1.6492411596016,3.89676494136394,-5.94661215752365,1.12834922823834e-06,0.000144572950405618
"1442018_at",1.88569789483708,6.03802058850238,5.92766426075538,1.19308636534991e-06,0.000150726577489206
"1448890_at",1.1665401961761,8.04952028967397,5.9131771117697,1.24508929354236e-06,0.000156419978351125
"1454842_a_at",-1.11433981451868,5.1576058278126,-5.90257323856647,1.28459061761946e-06,0.00016059358862451
"1416666_at",-1.05702166250263,6.93388875253056,-5.90233330823126,1.28549881551662e-06,0.00016059358862451
"1435691_at",-1.02511796742523,9.49632486194053,-5.88874114685499,1.33801571727542e-06,0.000165552014527306
"1416084_at",1.37155468835491,8.79644928947458,5.88828788272027,1.33980366959639e-06,0.000165552014527306
"1458586_at",1.1333460838074,5.22119610912006,5.86841245393525,1.42060974975024e-06,0.000174105761748603
"1440260_at",-1.0518684438748,6.0543826995779,-5.86038633431603,1.4546119588033e-06,0.000177309335010778
"1433374_at",-1.45996128984684,2.07405310735784,-5.85831046190962,1.46353850090984e-06,0.000177329437716681
"1439348_at",1.3174681501432,7.45771798228898,5.85473918515362,1.4790243793705e-06,0.000178356894475906
"1439331_at",-1.15533504366116,5.46698451110986,-5.84064152495681,1.54177842206862e-06,0.00018298881214136
"1441413_at",-1.31170328907884,6.64610847296344,-5.81838292007754,1.64634685574808e-06,0.000193869163292674
"1429603_at",-1.83327472493443,4.08586773253401,-5.81689132131792,1.65360353434927e-06,0.000194216596361162
"1457243_at",-1.21694528500861,5.30209236546496,-5.81553582825798,1.66022589192044e-06,0.000194487916757153
"1419253_at",1.18996260061436,6.14209132620703,5.7696224378349,1.90097454033873e-06,0.000219835519855941
"1415940_at",1.65750714385276,9.74594315094538,5.73847733288487,2.08393366182907e-06,0.000234800893420365
"1453590_at",1.55808661816422,5.37433758187984,5.73483587348399,2.10644717912999e-06,0.00023545607686346
"1438133_a_at",2.43745306610622,7.32650863034423,5.73440318045172,2.1091384903403e-06,0.00023545607686346
"1441033_at",-1.02677999146143,5.62067215847516,-5.73089335323274,2.13109712319682e-06,0.000236735495944088
"1431381_at",-1.35135531771131,4.49036903928025,-5.72144384995616,2.19136264175096e-06,0.00024223687869022
"1455778_at",-1.16083636941589,6.47300221048015,-5.71419224566575,2.2387672891977e-06,0.000246871989022263
"1454742_at",1.11746434307283,9.40985088224447,5.69564420945138,2.36474987987142e-06,0.00025796707083785
"1431214_at",1.34855526488177,8.94305166235886,5.68921985572242,2.41002314622203e-06,0.000260658162872325
"1429813_at",-2.07145838621137,4.77645542122782,-5.68536847486572,2.43757989400229e-06,0.000262065377745838
"1428834_at",1.34339678591656,5.37884986794962,5.68193928511396,2.4623815718183e-06,0.000262088152195781
"1447063_at",1.30259463278417,6.36351883912179,5.68064112280439,2.47183642418423e-06,0.000262088152195781
"1426726_at",1.53036039025791,8.30181827421884,5.67933908070651,2.48135608939045e-06,0.000262088152195781
"1430837_a_at",1.36225288532817,5.76664145293251,5.66370052372544,2.59860739832055e-06,0.000271925272092008
"1430370_at",1.041650606206,5.4927046312959,5.65749260797774,2.64667719691891e-06,0.000275676185353903
"1425774_at",1.66681075830637,6.42063790703672,5.65552308168626,2.66211328819004e-06,0.000276645095416265
"1422021_at",2.09307141305853,4.44166724092697,5.64588767791207,2.73894073454504e-06,0.000283323316671366
"1452816_at",2.8318912558259,5.0496051628069,5.63362137816802,2.83996877654799e-06,0.000292432492673724
"1420362_a_at",-1.02307094011397,6.10437632706762,-5.61951896949156,2.96074227472824e-06,0.000302109586725154
"1418350_at",2.01949554082131,5.9033136184164,5.608107256853,3.06222935780455e-06,0.000309662794319155
"1426727_s_at",1.38849435039683,7.84673212548686,5.60229316707829,3.11526810724364e-06,0.000313619881483919
"1417426_at",1.22242931856862,9.21663418351822,5.59727307424551,3.16180337561888e-06,0.000316187348212389
"1427347_s_at",1.05820614735986,11.4224229418412,5.59015011722316,3.22902914641124e-06,0.000322195671531622
"1416039_x_at",2.33325544563659,7.93395905365651,5.57665468007961,3.36034838842867e-06,0.000330185343500047
"1459718_x_at",1.51327664047017,4.26819365206907,5.57164777491961,3.41041764994824e-06,0.000333054537555518
"1418025_at",1.09251972542286,8.97383539959408,5.53449260414497,3.80607233775252e-06,0.000364453648630523
"1416927_at",1.36027995206192,8.69877714886423,5.5256049429025,3.90733485595172e-06,0.000370999388080587
