probe,gene_symbol
1416249_at,Nadk
1416250_at,Btg2
1416251_at,Mcm6
1416252_at,Stk38
1416253_at,Cdkn2d
1416254_a_at,Vps16
1416255_at,Gja4
1416256_a_at,Tubb5
1416257_at,Capn2
1416258_at,Tk1
1416259_at,Pex12
1416260_a_at,Snx1
1416261_at,Tmem19
1416262_at,Tmem19
1416263_at,Abcb9
1416264_at,Abcb9
1416265_at,Capn10
1416266_at,Pdyn
1416267_at,Scoc
1416268_at,Ets2
1416269_at,Atp5j2
1416270_at,Polr2g
1416271_at,Perp
1416272_at,Lamtor3
1416273_at,Tnfaip2
1416274_at,Ctns
1416275_at,Slc26a6
1416276_a_at,Rps4x
1416277_a_at,Gm13777///Rplp1
1416278_a_at,Atp5o
1416279_at,Ap1b1
1416280_at,Uba2
1416281_at,Wdr45b
1416282_at,Psmc3
1416283_at,Gart
1416284_at,Mrpl28
1416285_at,Ndufc1
1416286_at,Rgs4
1416287_at,Rgs4
1416288_at,Dnaja1
1416289_at,Plod1
1416290_a_at,Psmc4
1416291_at,Psmc4
1416292_at,Prdx3
1416293_at,Nfib
1416294_at,Scamp3
1416295_a_at,Il2rg
1416296_at,Il2rg
1416297_s_at,Reg3b
1416298_at,Mmp9
1416299_at,Shcbp1
1416300_a_at,Slc25a3
1416301_a_at,Ebf1
1416302_at,Ebf1
1416303_at,Litaf
1416304_at,Litaf
1416305_at,Sh3bp4
1416306_at,Clca1
1416307_at,Ap1m1
1416308_at,Ugdh
1416309_at,Nusap1
1416310_at,Nusap1
1416311_s_at,Tuba3b///Tuba3a
1416312_at,Rars
1416313_at,Mllt11
1416314_at,Mllt11
1416315_at,Abhd4
1416316_at,Slc27a2
1416317_a_at,Stambp
1416318_at,Serpinb1a
1416319_at,Adk
1416320_at,Sec22a
1416321_s_at,Prelp
1416322_at,Prelp
1416323_at,Kctd20
1416324_s_at,Kctd20
1416325_at,Crisp1
1416326_at,Crip1
1416327_at,Ufc1
1416328_a_at,Atp6v0e
1416329_at,Cyfip1
1416330_at,Cd81
1416331_a_at,Nfe2l1
1416332_at,Cirbp
1416333_at,Dok2
1416334_at,Wwox
1416335_at,Mif
1416336_s_at,Gm14277///Snrpd1
1416337_at,Uqcrb
1416338_at,Sh3gl1
1416339_a_at,Prkcsh
1416340_a_at,Man2b1
1416341_at,Polr2c
1416342_at,Tnc
1416343_a_at,Lamp2
1416344_at,Lamp2
1416345_at,Timm8a1
1416346_at,Timm8a1
1416347_at,Men1
1416348_at,Men1
1416349_at,Mrpl34
1416350_at,Klf16
1416351_at,Map2k1
1416352_s_at,Tecr
1416353_at,Nr1h2
1416354_at,Rbmx
1416355_at,Rbmx
1416356_at,Gmpr2
1416357_a_at,Mcam
1416358_at,Mfsd10
1416359_at,Snx18
1416360_at,Snx18
1416361_a_at,Dync1i1
1416362_a_at,Fkbp4
1416363_at,LOC102642559///Fkbp4
1416364_at,Hsp90ab1
1416365_at,Hsp90ab1
1416366_at,LOC102641347///Ndufc2
1416367_at,Fmc1
1416368_at,Gsta4
1416369_at,Mfsd14b
1416370_at,Zscan21
1416371_at,Apod
1416372_at,Ptdss1
1416373_at,Nfs1
1416374_at,Ap3m1
1416375_at,Ap3m1
1416376_at,Tmem97
1416377_at,Pdcd7
1416378_at,Pnkp
1416379_at,Panx1
1416380_at,Mov10
1416381_a_at,Prdx5
1416382_at,Ctsc
1416383_a_at,Pcx
1416384_a_at,Cope
1416385_a_at,M6pr
1416386_a_at,M6pr
1416387_at,Pip4k2c
1416388_at,Pip4k2c
1416389_a_at,Rcbtb2
1416390_at,Rcbtb2
1416391_at,Ptcd1
1416392_a_at,Atp6v0c
1416393_at,Emg1
1416394_at,Bag1
1416395_at,Guk1
1416396_at,Snx4
1416397_at,Mesdc1
1416398_at,Mesdc1
1416399_a_at,Hmox2
1416400_at,Pycrl
1416401_at,Cd82
1416402_at,Abcb10
1416403_at,Abcb10
1416404_s_at,LOC100862433///Rps16-ps2///Rps16
1416405_at,Bgn
1416406_at,Pea15a
1416407_at,Pea15a
1416408_at,Acox1
1416409_at,Acox1
1416410_at,Pafah1b3
1416411_at,Gstm2
1416412_at,Nsmaf
1416413_at,Ctsj
1416414_at,Emilin1
1416415_a_at,Gm8203///H2afz
1416416_x_at,Gstm1
1416417_a_at,Ndufb7
1416418_at,Gabarapl1
1416419_s_at,Gabarapl1
1416420_a_at,LOC101056029///Gm5451///Rpl9
1416421_a_at,Ssb
1416422_a_at,Ssb
1416423_x_at,Ssb
1416424_at,Plin3
1416425_at,Pex19
1416426_at,Rab5a
1416427_at,Ccni
1416428_at,Thap11
1416429_a_at,Cat
1416430_at,Cat
1416431_at,Tubb6
